,
,
,
,
115,115
5,5
60,60
90,80
5,25
5,15
59.96663,65.440765
54.66,58.68
64.37,54.25
58.86,50.71
51.71,64.41
65.04,69.63
69.90,65.72
47.15,59.19
72.18,51.46
48.48,69.49
58.23,43.81
44.27,64.54
63.51,43.36
70.53,73.89
63.40,77.12
77.71,61.98
75.48,68.87
44.88,49.90
73.14,46.49
77.81,52.85
53.47,78.76
48.21,76.03
55.34,39.71
39.88,53.57
41.07,70.04
38.51,62.95
68.02,38.78
48.80,38.92
47.97,81.21
58.91,35.35
79.64,43.35
84.68,68.60
76.45,38.92
33.68,55.09
38.43,77.88
42.83,37.74
84.51,74.09
35.53,45.82
69.01,33.11
38.39,41.39
73.61,85.36
87.31,49.25
49.56,32.45
89.05,54.39
42.11,84.27
90.41,60.98
78.98,34.30
32.53,76.84
65.52,92.45
82.90,83.68
54.81,93.06
36.40,35.99
91.46,72.33
73.24,91.15
80.38,88.09
56.94,25.38
25.49,65.55
51.15,25.31
25.60,49.84
94.39,49.74
26.28,72.58
28.55,42.43
22.67,61.33
67.93,97.04
98.25,63.90
44.73,24.18
100.09,56.40
89.43,87.58
28.37,34.92
36.40,93.01
61.80,19.46
56.63,19.53
92.90,83.92
49.84,20.45
40.27,96.19
98.53,74.83
71.95,20.38
80.27,96.09
23.66,39.97
51.68,100.74
85.84,27.31
73.78,99.81
17.90,56.06
24.45,82.94
95.47,36.56
17.91,67.66
30.88,92.41
88.01,93.65
31.31,26.91
60.37,103.80
43.74,100.86
16.76,51.04
100.57,40.51
19.02,78.62
105.03,57.64
98.07,84.44
21.60,35.09
104.89,50.40
93.37,91.54
56.61,14.17
80.76,18.06
68.71,106.16
32.71,20.69
88.17,21.15
66.48,12.33
76.28,105.46
106.78,72.01
42.41,15.02
31.74,99.34
10.68,59.59
13.63,76.94
81.83,104.46
61.74,109.53
109.56,62.04
52.44,10.90
89.45,100.03
105.95,40.55
15.74,83.08
109.58,53.66
100.91,30.76
36.99,104.94
108.78,46.96
12.67,42.24
19.89,92.06
19.43,28.13
43.84,109.64
77.51,10.69
104.96,87.40
94.54,99.80
106.08,32.29
108.85,83.79
91.88,104.89
32.69,107.90
94.90,16.55
102.90,24.18
90.42,12.44
22.66,102.54
28.79,10.94
10.56,28.64
13.19,96.45
106.18,97.63
23.44,11.95
22.96,108.16
95.73,109.18
17.68,15.58
97.78,10.62
109.77,101.10
12.80,104.06
109.72,17.29
10.76,108.90
